"Mon";"status";"person_days";"Deaths";"MortalityRate";"MR_unvac";"person_days_AllGroups";"Deaths_AllGroups";"Average_mortality_rate";"MR_ComparedToUnvacc";"GroupSize_Share"
"2020-01";"Doses_0";436370;281;235,202351215711;235,202351215711;436370;281;235,202351215711;1;1
"2020-02";"Doses_0";399783;313;285,963260068587;285,963260068587;399783;313;285,963260068587;1;1
"2020-03";"Doses_0";418392;247;215,627330350485;215,627330350485;418392;247;215,627330350485;1;1
"2020-04";"Doses_0";397476;239;219,622694200405;219,622694200405;397476;239;219,622694200405;1;1
"2020-05";"Doses_0";403718;215;194,513868591443;194,513868591443;403718;215;194,513868591443;1;1
"2020-06";"Doses_0";383952;241;229,261079509939;229,261079509939;383952;241;229,261079509939;1;1
"2020-07";"Doses_0";389650;219;205,286154240985;205,286154240985;389650;219;205,286154240985;1;1
"2020-08";"Doses_0";382872;228;217,506111703128;217,506111703128;382872;228;217,506111703128;1;1
"2020-09";"Doses_0";363275;258;259,402656389787;259,402656389787;363275;258;259,402656389787;1;1
"2020-10";"Doses_0";366242;377;375,978860971707;375,978860971707;366242;377;375,978860971707;1;1
"2020-11";"Doses_0";340804;438;469,417905893123;469,417905893123;340804;438;469,417905893123;1;1
"2020-12";"Doses_0";340388;354;379,856222898575;379,856222898575;340477;354;379,756929249259;1;0,999738602020107
"2021-01";"Doses_0";304682;304;364,432424626332;364,432424626332;330018;320;354,16250022726;1;0,923228429964426
"2021-02";"Doses_0";188886;221;427,349035926432;427,349035926432;289831;274;345,299502123651;1;0,651710824583982
"2021-03";"Doses_0";138925;174;457,466258772719;457,466258772719;312073;280;327,711785383548;1;0,44516827793497
"2021-04";"Doses_0";105725;105;362,745329865216;362,745329865216;294940;196;242,723943852987;1;0,358462738184037
"2021-05";"Doses_0";94535;73;282,046332046332;282,046332046332;298359;203;248,511859873508;1;0,316849835265569
"2021-06";"Doses_0";84683;66;284,667524768844;284,667524768844;283146;179;230,904727596364;1;0,299078920415616
"2021-07";"Doses_0";84031;47;204,290678440099;204,290678440099;287574;159;201,947150994179;1;0,292206527711128
"2021-08";"Doses_0";81175;52;233,975977825685;233,975977825685;282241;178;230,35101207833;1;0,287608816578739
"2021-09";"Doses_0";76237;64;306,622768472002;306,622768472002;267449;208;284,061634180722;1;0,285052477294737
"2021-10";"Doses_0";76250;55;263,459016393443;263,459016393443;269952;215;290,898937588905;1;0,28245762209578
"2021-11";"Doses_0";70474;72;373,158895479184;373,158895479184;254181;254;364,989908765801;1;0,27725911850217
"2021-12";"Doses_0";67629;80;432,063168167502;432,063168167502;254148;262;376,534538930072;1;0,266100854620143
"2022-01";"Doses_0";64910;42;236,334925281159;236,334925281159;247282;198;292,457599016507;1;0,262493832951853
