"Mon";"status";"person_days";"Deaths";"MortalityRate";"MR_unvac";"person_days_AllGroups";"Deaths_AllGroups";"Average_mortality_rate";"MR_ComparedToUnvacc";"GroupSize_Share"
"2020-01";"Doses_0";19691393;211;3,91377847163987;3,91377847163987;19691393;211;3,91377847163987;1;1
"2020-02";"Doses_0";18415320;189;3,74863157414587;3,74863157414587;18415320;189;3,74863157414587;1;1
"2020-03";"Doses_0";19678769;244;4,52878937701845;4,52878937701845;19678769;244;4,52878937701845;1;1
"2020-04";"Doses_0";19037316;188;3,60696854535587;3,60696854535587;19037316;188;3,60696854535587;1;1
"2020-05";"Doses_0";19666318;175;3,25016355374707;3,25016355374707;19666318;175;3,25016355374707;1;1
"2020-06";"Doses_0";19026653;185;3,55139971281339;3,55139971281339;19026653;185;3,55139971281339;1;1
"2020-07";"Doses_0";19655259;183;3,400654756063;3,400654756063;19655259;183;3,400654756063;1;1
"2020-08";"Doses_0";19648934;199;3,69917014327597;3,69917014327597;19648934;199;3,69917014327597;1;1
"2020-09";"Doses_0";19009380;195;3,7467687005047;3,7467687005047;19009380;195;3,7467687005047;1;1
"2020-10";"Doses_0";19636494;226;4,20372903635445;4,20372903635445;19636494;226;4,20372903635445;1;1
"2020-11";"Doses_0";18995659;257;4,94161587128933;4,94161587128933;18995659;257;4,94161587128933;1;1
"2020-12";"Doses_0";19616187;237;4,41289889824154;4,41289889824154;19621313;237;4,41174604370258;1;0,999738753466702
"2021-01";"Doses_0";19110164;296;5,65740827760557;5,65740827760557;19613156;299;5,56818851591248;1;0,974354356840888
"2021-02";"Doses_0";16789441;273;5,93904526064924;5,93904526064924;17707279;277;5,71370959931224;1;0,948166062103613
"2021-03";"Doses_0";17228417;356;7,54735620806021;7,54735620806021;19594156;371;6,91572272875647;1;0,879263031283409
"2021-04";"Doses_0";15352532;260;6,18562462530611;6,18562462530611;18951944;278;5,35773533311411;1;0,810076897652294
"2021-05";"Doses_0";10241417;182;6,4908498501721;6,4908498501721;19575995;226;4,21672052940349;1;0,523162015519518
"2021-06";"Doses_0";6544489;168;9,37613310985777;9,37613310985777;18938091;225;4,33946853460573;1;0,345572792949406
"2021-07";"Doses_0";5978550;116;7,08683543668615;7,08683543668615;19562744;188;3,5100904044954;1;0,305608967739904
"2021-08";"Doses_0";5508387;125;8,28849715896868;8,28849715896868;19556810;203;3,79130083075921;1;0,281660812780817
"2021-09";"Doses_0";5148246;102;7,23654230974977;7,23654230974977;18920061;186;3,59071252465835;1;0,272105148075368
"2021-10";"Doses_0";5202799;115;8,07329862252991;8,07329862252991;19544504;227;4,24220282080323;1;0,266202662395526
"2021-11";"Doses_0";4731130;155;11,9662216003365;11,9662216003365;18906736;264;5,10008708007559;1;0,250235154285753
"2021-12";"Doses_0";4573378;183;14,615181600996;14,615181600996;19528304;282;5,27442116837182;1;0,234192278039096
"2022-01";"Doses_0";4471798;141;11,5166762899398;11,5166762899398;19519645;249;4,65926762500035;1;0,229092178674356
"2022-02";"Doses_0";4000632;109;9,951490164554;9,951490164554;17624141;228;4,72516646343218;1;0,226997276065824
"2022-03";"Doses_0";4417578;102;8,43346738869127;8,43346738869127;19505742;233;4,36298449964118;1;0,22647577313388
"2022-04";"Doses_0";4264606;101;8,65033018290553;8,65033018290553;18869030;240;4,64570780797953;1;0,226010876022774
"2022-05";"Doses_0";4400011;89;7,38799289365413;7,38799289365413;19491413;201;3,76654324650552;1;0,225740996817419
"2022-06";"Doses_0";4252631;87;7,47225658656958;7,47225658656958;18856279;219;4,24207501384552;1;0,225528642209844
"2022-07";"Doses_0";4389808;75;6,24030709315761;6,24030709315761;19478719;196;3,67524168298747;1;0,225364306554245
"2022-08";"Doses_0";4383930;85;7,08183068616515;7,08183068616515;19471736;223;4,18302456442507;1;0,225143253791033
"2022-09";"Doses_0";4237765;82;7,06752262100423;7,06752262100423;18837470;210;4,07180475934401;1;0,224964658205162
"2022-10";"Doses_0";4374439;85;7,09719577756142;7,09719577756142;19458559;219;4,11077459538499;1;0,224807962398449
"2022-11";"Doses_0";4229458;72;6,21781798045991;6,21781798045991;18824251;207;4,01645462547222;1;0,224681343231133
"2022-12";"Doses_0";4367073;86;7,19280396732548;7,19280396732548;19444838;251;4,7147602875375;1;0,224587780057617
"2020-01";"Doses_1";0;0;NA;3,91377847163987;19691393;211;3,91377847163987;NA;0
"2020-02";"Doses_1";0;0;NA;3,74863157414587;18415320;189;3,74863157414587;NA;0
"2020-03";"Doses_1";0;0;NA;4,52878937701845;19678769;244;4,52878937701845;NA;0
"2020-04";"Doses_1";0;0;NA;3,60696854535587;19037316;188;3,60696854535587;NA;0
"2020-05";"Doses_1";0;0;NA;3,25016355374707;19666318;175;3,25016355374707;NA;0
"2020-06";"Doses_1";0;0;NA;3,55139971281339;19026653;185;3,55139971281339;NA;0
"2020-07";"Doses_1";0;0;NA;3,400654756063;19655259;183;3,400654756063;NA;0
